Case ID,Species,NCBI Taxonomy,GenoType,Modality,Technique,Anatomical Region,Organization,Investigator,Grant Number,Project,Imaging Database,Imaging Datalink,Age,Sex,Viewer Link,AP,ML,DV,Injection Type
180628_HK_RP_PlexinD1PLA20female_,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,PL,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/d3/30/d33094626b33d550/180628_HK_RP_PlexinD1PLA20female_processed,15,F,https://brainviewer.org:3010/HUA_U19_180628,1.4,0.5,1.5, AAV2/8-Cag-fDIO TVAeGFP
180702_A022_WG_PlexinD1V1female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,VISp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180702_A022_WG_PlexinD1V1female_processed/,16,F,https://brainviewer.org:3010/HUA_U19_180702,-3,2.7,0.8, AAV2/8-Cag-fDIO TVAeGFP
180706_HK023_WG_PlxnD1lslFlpA1Female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,AUDp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180706_HK023_WG_PlxnD1lslFlpA1Female_processed/,17,F,https://brainviewer.org:3010/HUA_U19_180706,-2.8,4.5,2.5, AAV2/8-Cag-fDIO TVAeGFP
180722_WG_PlxnD1lslFlpCFA1female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180722_WG_PlxnD1lslFlpCFA1female_processed/,,,https://brainviewer.org:3010/HUA_U19_180722,0.5,1.5,1, AAV2/8-Cag-fDIO TVAeGFP
180725_HK_RP_PlexinD1_TEa_A29_female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,ENTl,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,13,F,https://brainviewer.org:3010/HUA_U19_180725,-3.6,4.1,4.5, AAV2/8-Cag-fDIO TVAeGFP
180730_WG010_PlxnD1_CFA_female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/e9/2a/e92aa2dc0e14ad4d/180730_WG010_PlxnD1_CFA_female_processed/,,,https://brainviewer.org:3010/HUA_U19_180730,0.8,1.5,0.7, AAV2/8-Cag-fDIO TVAeGFP
180802_KM_AdcyapLSLflpABCmale,mouse,NCBI:txid10090,AdycapCreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_180802,-2,3.6,1.5, AAV2/8-Cag-fDIO TVAeGFP
180804_KM_AdcyapLSLflpABCmale,mouse,NCBI:txid10090,AdycapCreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/56/f7/56f787c659fcbecd/180804_KM_AdcyapLSLflpABCmale_processed/,,M,https://brainviewer.org:3010/HUA_U19_180804,-1.5,4,1.5, AAV2/8-Cag-fDIO TVAeGFP
180806_JH_KM0004_FezfLSLflpABCmale,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/b3/26/b3264469a99a0918/level_1/180806_JH_KM0004_FezfLSLflpABCmale,,M,https://brainviewer.org:3010/HUA_U19_180806,-1.7,4,1.5, AAV2/8-Cag-fDIO TVAeGFP
180807_JH_KM0005_PlexinLSLflpABCmale,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/35/49/3549a73d83da3016/level_1/180807_JH_KM0005_PlexinLSLflpABCmale_processed/,,M,https://brainviewer.org:3010/HUA_U19_180807,-1.5,4,1.6, AAV2/8-Cag-fDIO TVAeGFP
180809_JH_KM0006_Fezf2lslflpABC_male,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_180809,-1.5,4,1.6, AAV2/8-Cag-fDIO TVAeGFP
180810_JH_WG_KM0007_Plexind1LSLflpABC_male,mouse,NCBI:txid10090,PlexinD1CreER;SnapEGFP,Projection,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_180810,,,,
180816_JH_WG_Tle4LSLFlpNPCfa_female,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/c8/1f/c81fe306a97b33e8/180816_JH_WG_Tle4LSLFlpNPCfa_female_processed/,16,F,https://brainviewer.org:3010/HUA_U19_180816,0.5,1.5,1.6, AAV2/8-Cag-fDIO TVAeGFP
