General Modality,Dataset Type,Technique,Virus Spread (if applicable),Imaging Modality,Atlas Aligned,Species,Genotype,Brain Regions,Number of SWC files,URL,BIL directory,BIL UUID,Metadata version,Project,Contributor Name,Affiliation,Grant number,NCBI taxonomy,Sample local ID,Title,Abstract
connectivity,Tracer Injected,retrograde transsynaptic tracing,Retrograde,STPT,,mouse,Slc17a6-IRES-Cre/wt,AM Anteromedial nucleus,,https://download.brainimagelibrary.org/ec/80/ec8077684d25fc8b/0539062035,/bil/data/ec/80/ec8077684d25fc8b/0539062035,ec8077684d25fc8b,1,U19 Zeng,"Zeng, Hongkui",Allen Institute for Brain Science,1-U19-MH114830-01,NCBI:txid10090,AIBS_776036718,AI_transsynaptic_September_2019,trans-synaptic two-photon serial tomography Mouse coronal image data sets
cell morphology,Morphology,PATCH-Seq,,Patch-seq,,human,NA,AnG,2,https://download.brainimagelibrary.org/d8/33/d833ba8bd931f23f/701223121,/bil/data/d8/33/d833ba8bd931f23f/701223121,d833ba8bd931f23f,1,U01 Lein,Ed Lein,Allen Institute for Brain Science,1-U01-MH114812-01,NCBI:txid9606,701223121,AIBS_Patchseq_Human_ December_2021,"72 human neuron reconstructions. Each reconstruction has a raw reconstruction file, a transformed file oriented so that the y axis extends vertically towards the pia surface, and a marker file indicating nodes where dendrites were truncated (10), reconstruction was not continued (20), or surface of tissue was closest to soma (30)."
cell morphology,Morphology,PATCH-Seq,,Patch-seq,,human,NA,AnG,2,https://download.brainimagelibrary.org/d8/33/d833ba8bd931f23f/701225685,/bil/data/d8/33/d833ba8bd931f23f/701225685,d833ba8bd931f23f,1,U01 Lein,Ed Lein,Allen Institute for Brain Science,1-U01-MH114812-01,NCBI:txid9606,701225685,AIBS_Patchseq_Human_ December_2021,"72 human neuron reconstructions. Each reconstruction has a raw reconstruction file, a transformed file oriented so that the y axis extends vertically towards the pia surface, and a marker file indicating nodes where dendrites were truncated (10), reconstruction was not continued (20), or surface of tissue was closest to soma (30)."
cell morphology,Morphology,Patch-seq,,Patch-seq,,human,,AnG,2,https://download.brainimagelibrary.org/ef/b9/efb9b12ba2fab63d/859648891,/bil/data/ef/b9/efb9b12ba2fab63d/859648891,efb9b12ba2fab63d,2,U01 Lein,"Lein, Ed",Allen Institute for Brain Science,1-U01-MH114812-01,NCBI:txid9606,859648891,"Neuron Morphology data in .swc format from Patch-seq experiments in human neocortex, Cell ID 859648891","Human neocortical neurons display diverse morphology, physiology and gene expression profiles. We use a method called Patch-seq, where these three data modalities are assayed simultaneously from the same neuron, to understand how the genetic profile of human neocortical neuron types corresponds to their morphological and electrophysiological phenotypes. This collection may contain image stacks (TIFF), reconstruction files in image space (.swc, Âµm), a transformed file (.swc, Âµm) oriented so that the y axis extends vertically towards the pia surface, and a marker file (.marker, Âµm) indicating nodes where dendrites were truncated (10), reconstruction was not continued (20), or surface of tissue was closest to soma (30)."
cell morphology,,Patch-seq,,Patch-seq,,human,,AnG,,https://download.brainimagelibrary.org/dd/90/dd90893e7193151f/701223121,/bil/data/dd/90/dd90893e7193151f/701223121,dd90893e7193151f,2,U01 Lein,"Lein, Ed",Allen Institute for Brain Science,1-U01-MH114812-01,NCBI:txid9606,701223121,"Neuron Morphology data in tiff stack format from Patch-seq experiments in human neocortex, Cell ID 701223121","Human neocortical neurons display diverse morphology, physiology and gene expression profiles. We use a method called Patch-seq, where these three data modalities are assayed simultaneously from the same neuron, to understand how the genetic profile of human neocortical neuron types corresponds to their morphological and electrophysiological phenotypes. This collection may contain image stacks (TIFF), reconstruction files in image space (.swc, Âµm), a transformed file (.swc, Âµm) oriented so that the y axis extends vertically towards the pia surface, and a marker file (.marker, Âµm) indicating nodes where dendrites were truncated (10), reconstruction was not continued (20), or surface of tissue was closest to soma (30)."
cell morphology,,Patch-seq,,Patch-seq,,human,,AnG,,https://download.brainimagelibrary.org/dd/90/dd90893e7193151f/701225685,/bil/data/dd/90/dd90893e7193151f/701225685,dd90893e7193151f,2,U01 Lein,"Lein, Ed",Allen Institute for Brain Science,1-U01-MH114812-01,NCBI:txid9606,701225685,"Neuron Morphology data in tiff stack format from Patch-seq experiments in human neocortex, Cell ID 701225685","Human neocortical neurons display diverse morphology, physiology and gene expression profiles. We use a method called Patch-seq, where these three data modalities are assayed simultaneously from the same neuron, to understand how the genetic profile of human neocortical neuron types corresponds to their morphological and electrophysiological phenotypes. This collection may contain image stacks (TIFF), reconstruction files in image space (.swc, Âµm), a transformed file (.swc, Âµm) oriented so that the y axis extends vertically towards the pia surface, and a marker file (.marker, Âµm) indicating nodes where dendrites were truncated (10), reconstruction was not continued (20), or surface of tissue was closest to soma (30)."
cell morphology,,Patch-seq,,Patch-seq,,human,,AnG,,https://download.brainimagelibrary.org/dd/90/dd90893e7193151f/859648891,/bil/data/dd/90/dd90893e7193151f/859648891,dd90893e7193151f,2,U01 Lein,"Lein, Ed",Allen Institute for Brain Science,1-U01-MH114812-01,NCBI:txid9606,859648891,"Neuron Morphology data in tiff stack format from Patch-seq experiments in human neocortex, Cell ID 859648891","Human neocortical neurons display diverse morphology, physiology and gene expression profiles. We use a method called Patch-seq, where these three data modalities are assayed simultaneously from the same neuron, to understand how the genetic profile of human neocortical neuron types corresponds to their morphological and electrophysiological phenotypes. This collection may contain image stacks (TIFF), reconstruction files in image space (.swc, Âµm), a transformed file (.swc, Âµm) oriented so that the y axis extends vertically towards the pia surface, and a marker file (.marker, Âµm) indicating nodes where dendrites were truncated (10), reconstruction was not continued (20), or surface of tissue was closest to soma (30)."
connectivity,Tracer Injected,retrograde transsynaptic tracing,Retrograde,STPT,,mouse,Gad2-IRES-Cre/wt,AOB Accessory olfactory bulb,,https://download.brainimagelibrary.org/ec/80/ec8077684d25fc8b/0539057961,/bil/data/ec/80/ec8077684d25fc8b/0539057961,ec8077684d25fc8b,1,U19 Zeng,"Zeng, Hongkui",Allen Institute for Brain Science,1-U19-MH114830-01,NCBI:txid10090,AIBS_807451900,AI_transsynaptic_September_2019,trans-synaptic two-photon serial tomography Mouse coronal image data sets
connectivity,Tracer Injected,retrograde tracing,Retrograde,,,mouse,Strain_Name='C57BL/6J';,AONm;TTd;MOs;ACAd;AD;AMv;fx;RSPagl;RSPd,,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW171117-03A/,/bil/data/84/c1/84c11fe5e4550ca0/SW171117-03A/,84c11fe5e4550ca0,1,U01 Dong,"Dong, Hongwei",University of Southern California,1-U01-MH114829-01,NCBI:txid10090,SW171117-03A,84c11fe5e4550ca0,Collection 84c11fe5e4550ca0
cell morphology,Morphology,PATCH-Seq,,Patch-seq,,human,NA,AOrG,2,https://download.brainimagelibrary.org/d8/33/d833ba8bd931f23f/967540207,/bil/data/d8/33/d833ba8bd931f23f/967540207,d833ba8bd931f23f,1,U01 Lein,Ed Lein,Allen Institute for Brain Science,1-U01-MH114812-01,NCBI:txid9606,967540207,AIBS_Patchseq_Human_ December_2021,"72 human neuron reconstructions. Each reconstruction has a raw reconstruction file, a transformed file oriented so that the y axis extends vertically towards the pia surface, and a marker file indicating nodes where dendrites were truncated (10), reconstruction was not continued (20), or surface of tissue was closest to soma (30)."
