Case ID,Species,NCBI Taxonomy,GenoType,Modality,Technique,Anatomical Region,Organization,Investigator,Grant Number,Project,R24 Name,R24 Link,Age,Sex,Viewer Link,AP,ML,DV,Injection Type,Injection Type
SW171031-04A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,failed,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW171031-04A,NA,NA,NA,NA,NA,,1 CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW171031-04A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,ENTm1,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW171031-04A,NA,NA,NA,-4.155,3.1,-5.6,2 CTB 488,pressure (50nl)
SW171031-04A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,RSPv,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/11/5b/115bda6eacd6507c/1U01MH114829-01/SW171031-04A,NA,NA,NA,-3.88,1.35,-1.25,3 CTB 555,pressure (50nl)
SW171101-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,anterograde,AId,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/e4/2d/e42d6385cc272c17/SW171101-01A/,NA,NA,NA,2.045,2.25,-3.1,1. PHAL,"iontophoresis (10 min, 7secOn/Off)"
SW171101-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/e4/2d/e42d6385cc272c17/SW171101-01A/,NA,NA,NA,1.045,1.5,-1.5,2. AAV1-CAG-tdTomato-WPRE,"iontophoresis (3 min, 7secOn/Off)"
SW171101-01A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/e4/2d/e42d6385cc272c17/SW171101-01A/,NA,NA,NA,1.545,1.5,-1.5,3. AAV1-hSyn-GFP-WPRE,"iontophoresis (3 min, 7secOn/Off)"
SW171101-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/e4/2d/e42d6385cc272c17/SW171101-02A/,NA,NA,NA,1.345,1.75,-1.5,1. PHAL,"iontophoresis (10 min, 7secOn/Off)"
SW171101-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/e4/2d/e42d6385cc272c17/SW171101-02A/,NA,NA,NA,0.545,1.3,-1,2. AAV1-CAG-tdTomato-WPRE,"iontophoresis (3 min, 7secOn/Off)"
SW171101-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/e4/2d/e42d6385cc272c17/SW171101-02A/,NA,NA,NA,0.545,1.1,-0.9,3. AAV1-hSyn-GFP-WPRE,"iontophoresis (3 min, 7secOn/Off)"
SW171101-03A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/47/01/4701bc104b9651f0/1U19MH114821-01/SW171101-03A/,NA,NA,NA,1.145,1.6,-1.3,1. PHAL,"iontophoresis (10 min, 7secOn/Off)"
SW171101-03A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/47/01/4701bc104b9651f0/1U19MH114821-01/SW171101-03A/,NA,NA,NA,0.945,1.5,-1.25,2. AAV1-CAG-tdTomato-WPRE,"iontophoresis (3 min, 7secOn/Off)"
SW171101-03A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/47/01/4701bc104b9651f0/1U19MH114821-01/SW171101-03A/,NA,NA,NA,1.545,1.5,-1.4,3. AAV1-hSyn-GFP-WPRE,"iontophoresis (5 min, 7secOn/Off)"
SW171102-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/47/01/4701bc104b9651f0/1U19MH114821-01/SW171102-01A/,NA,NA,NA,1.545,1.6,-1.5,1. PHAL,"iontophoresis (10 min, 7secOn/Off)"
SW171102-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/47/01/4701bc104b9651f0/1U19MH114821-01/SW171102-01A/,NA,NA,NA,2.245,1.9,-2.75,2. AAV1-CAG-tdTomato-WPRE,"iontophoresis (3 min, 7secOn/Off)"
SW171102-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/47/01/4701bc104b9651f0/1U19MH114821-01/SW171102-01A/,NA,NA,NA,1.145,1.5,-1.1,3. AAV1-hSyn-GFP-WPRE,"iontophoresis (3 min, 7secOn/Off)"
SW171102-02A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,anterograde,SSp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/47/01/4701bc104b9651f0/1U19MH114821-01/SW171102-02A/,NA,NA,NA,1.345,2,-1.75,1. PHAL,"iontophoresis (10 min, 7secOn/Off)"
SW171102-02A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/47/01/4701bc104b9651f0/1U19MH114821-01/SW171102-02A/,NA,NA,NA,1.645,1.5,-1.6,2. AAV1-CAG-tdTomato-WPRE,"iontophoresis (3 min, 7secOn/Off)"
SW171102-02A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,anterograde,MOp,University of Southern California,Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/47/01/4701bc104b9651f0/1U19MH114821-01/SW171102-02A/,NA,NA,NA,1.145,1.2,-1.25,3. AAV1-hSyn-GFP-WPRE,"iontophoresis (3 min, 7secOn/Off)"
