Sample ID,Donor ID,Species,Species NCBI Taxonomy ID,Genotype,Modality,Technique,Anatomical Structure,Subspecimen Type,Total Processed Subspecimens,Organization,Investigator,Grant Number,Project,R24 Name (CV),R24 link,Comments,Metadata Submission,Age,Sex,QC,Download Link,Visualization Link,Soma_X(CCFv3_1𝜇𝑚),Soma_Y(CCFv3_1𝜇𝑚),Soma_Z(CCFv3_1𝜇𝑚)
908537533,475349,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9452.495545,1129.579483,3550.23889
908632324,475349,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9357.514296,1440.342193,3064.315929
908649467,475349,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9239.351888,1826.949764,2382.381529
908669318,475349,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISl5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Manual Neuron Morphology ,,,9180.513352,2019.459582,2102.876592
909564578,475351,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,57 Days,Male,Automated Neuron Morphology ,,,9582.190724,1137.127377,3738.910147
937880943,485098,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISl5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,54 Days,Male,Automated Neuron Morphology ,,,9213.433107,1944.235175,9107.221615
939652621,485102,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9465.131135,1088.898497,7811.643086
939539000,485102,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Male,Automated Neuron Morphology ,,,9481.09243,1690.222974,8507.379541
940583276,485105,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,57 Days,Female,Automated Neuron Morphology ,,,9156.963199,1504.207072,8346.49762
940603431,485105,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,57 Days,Female,Automated Neuron Morphology ,,,9103.08667,1680.429257,8630.07585
940783281,485106,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,57 Days,Female,Manual Neuron Morphology ,,,8500.883563,1177.382286,8236.318644
940798014,485106,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISal5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,57 Days,Female,Automated Neuron Morphology ,,,8363.14969,1627.889484,9150.29726
944750626,486150,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,57 Days,Female,Automated Neuron Morphology ,,,9632.204613,1202.498998,7785.866272
945063428,486150,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISl5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,57 Days,Female,Manual Neuron Morphology ,,,9137.371611,2193.021116,2069.529195
945768358,486151,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,58 Days,Female,Automated Neuron Morphology ,,,9740.664793,1638.184465,2900.085762
945796367,486151,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,58 Days,Female,Manual Neuron Morphology ,,,9576.267637,1974.124402,2557.193636
945833568,486151,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISl5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,58 Days,Female,Manual Neuron Morphology ,,,9499.346827,2131.309434,2201.240738
945758130,486151,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,58 Days,Female,Automated Neuron Morphology ,,,8900.941246,797.7747084,7390.053412
